Chartmetric ID,Artist,Country,Region,Continent,Pronouns,Solo/Group,Associated Labels,Label Category,Genres,Moods,Activities,Chartmetric Score,Chartmetric Rank,Career Stage,Recent Momentum,TikTok Followers,TikTok Likes,TikTok Engagement Rate,TikTok Posts,TikTok Views,Pandora Monthly Listeners,Pandora Streams,Pandora Artist Stations,Shazams,Line Music Artist Likes,Line Music Likes,Line Music Video Views,Line Music Streams,Melon Fans,Melon Video Likes,Melon Video Views,Spotify Followers,Spotify Monthly Listeners,Spotify Conversion Rate,Spotify Reach / Followers Ratio,Spotify Popularity,Spotify Playlist Reach,Spotify Playlist Count,YouTube Channel Subscribers,YouTube Channel Views,YouTube Daily Video Views,YouTube Monthly Audience,YouTube Engagement Rate,YouTube Playlist Count,Deezer Fans,Deezer Playlist Count,Deezer Playlist Reach,SoundCloud Followers,SoundCloud Streams,Apple Music Playlist Count,Amazon Music Playlist Count,Instagram Followers,Instagram Engagement Rate,Radio Spins,SiriusXM Spins,Facebook Followers,Facebook Talks,Snapchat Followers,X Followers,X Post Count,Wikipedia Views,Bandsintown Followers,Songkick Fans,Boomplay Streams,Boomplay Favorites,Genius Views,Twitch Followers,Audience Age,Audience Gender,Spotify Links
10680892,Hell Let Loose,United States,North America,North America,,,Unknown Label,,"Deathcore,Metal,Rock",,,9.838376574,1069156,Developing,Cooling,,,,12,4371,,,,1033,,,,,,,,2381,1149,2.072237,15.95x,4,37971,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://open.spotify.com/artist/0N2zUjBNKcrKhtpkpjvJi7
12620699,phase.shift.,,,,,,Distrokid,,"Death Metal,Deathcore,Dance","Heavy,Catchy,Adrenaline","Dancy,Driving,Working,Workout",9.77716989,1072983,Developing,Slowing,,,,,,,153,,527,,,,,,,,958,1909,0.501833,57.35x,8,54939,439,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,https://open.spotify.com/artist/2mIEOoqSOsMIZ6UL0YJT2e
9388895,Imperial Crystalline Entombment I.C.E,,,,They/Them,,Unknown Label,,"Rock,Metal,Dance",,,9.775610824,1073234,Developing,Steady,,,,,,,,,232,,,,,,,,5145,1736,2.96371,15.82x,12,81371,473,,,,,,,218,,,,,1,,,,5,,,,,,,,,,,,,,,,https://open.spotify.com/artist/1NN9iBfjr2X9Zu1gDLAxyK
12901813,Crimson Thorn,,,,,,Unknown Label,,"Dance,Electronic,Metalcore",,,9.657484479,1080659,Developing,Slowing,,,,,,,,,223,,,,,,,,1794,1262,1.421553,23.53x,12,42205,122,,,,,,,,,,,,,,,,2,,,,,,,,,200,,,,,,,https://open.spotify.com/artist/28PjS3NGOb3SF6lkXQjagb
6527767,Secondhand Saints,,,,,Group,SHS Records,,"Progressive Rock,Deathcore,Metal",,,9.625147537,1082739,Developing,Slowing,,,,,,,,,414,,,,,,,,2209,1279,1.727131,127.45x,8,281527,448,,,,,,,,,,,,,,,,6,,,,,,,,,192,,,,,,,https://open.spotify.com/artist/3S4jMurhHps1xCUhejnAd2
10063348,Behold Here's Poison,United States,North America,North America,,Group,Unknown Label,,"Deathcore,Progressive Metal,Metalcore","Heavy,Revenge,Raw",Guitar,9.624278782,1082813,Developing,Slowing,,,,,,,,,502,,,,,,,,2510,1121,2.239072,34.79x,6,87327,424,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,https://open.spotify.com/artist/1hTePDkXybBVyXtFRSqp4D
11137517,slowchamber,,,,,,Unknown Label,,"Hardcore,Beatdown,Death Metal",,,9.58707284,1085222,Developing,Slowing,,,,,,,,,2089,,,,,,,,3729,888,4.199324,7.86x,6,29292,497,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,https://open.spotify.com/artist/4cu9p8IwUabulv3YOxPIxC
1388860,Imha Tarikat,Germany,Western Europe,Europe,,,Unknown Label,,"Rock,Metal,Death Metal",,,9.507674634,1090698,Developing,Steady,,,,,,,,,550,,,,,,,,5361,1394,3.845768,10.61x,9,56901,598,,,,,,,323,,,,,1,,3161,,79,,,,,,,,,607,,,,,,,https://open.spotify.com/artist/0Cor5wxhCtEuSz85zFb9qY
8563356,Into The Vein,,,,,Group,Unknown Label,,"Death Metal,Progressive Rock,Post-Hardcore",,,9.50101405,1091176,Developing,Slowing,,,,,,,,,358,,,,,,,,2613,1376,1.898983,27.61x,9,72140,571,,,,,,,33,,,,,,,,,5,,,,,,,,,270,,,,,,,https://open.spotify.com/artist/1FklvdgEAAOBSuwd9jSOjw
3605700,Thrash All Nations,United States,North America,North America,,Group,Unknown Label,,"Deathcore,Progressive Metal,Metalcore","Heavy,Angry,Epic",Workout,9.476933424,1092692,Developing,Slowing,,,,1,16300,,,,612,,,,,,,,1826,964,1.894191,106.79x,5,195004,710,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,https://open.spotify.com/artist/3NrNgyOUrXEG4pGiil0k3q
1404080,BYSTANDER,United States,North America,North America,,Group,Unknown Label,,"Deathcore,Death Metal,Hardcore",,,9.395969366,1097994,Developing,Slowing,,,,17,9782,,,,338,,,,,,,,3929,717,5.479777,21.34x,3,83853,743,,,,,,,140,,,,,,,,,1,,,,,,,,,548,,,,,,,https://open.spotify.com/artist/4uYbgRkkg520ViIcz0KXdK
11037991,Shallow Dissent,,,,,,Unknown Label,,"Deathcore,Metalcore",,,9.382176302,1098824,Developing,Cooling,,,,,,,,,157,,,,,,,,1790,1136,1.575704,52.46x,7,93900,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://open.spotify.com/artist/6A7uxd2a7b2PhPXx6GD7hR
621466,The Tex Avery Syndrome,Germany,Western Europe,Europe,,Group,Easthaven Records,,"Deathcore,Progressive Metal,Progressive Rock","Aggressive,Energetic,Determined,Dynamic,Intense,Motivational","Dancy,Driving,Workout",9.376214072,1099296,Developing,Steady,400,1184,5.2369,5,10170,1,2,,653,,,,,,,,2431,704,3.453125,17.78x,5,43235,413,1520,171817,,,15.1974,,227,,,,,,,3059,2.1249,15,,3400,1,,30,20,,,229,,,,,13-17: 1.7%%; 18-24: 18.8%%; 25-34: 44.4%%; 35-44: 26.6%%; 45-64: 8.5%%,F: 31.7%; M: 68.3%,https://open.spotify.com/artist/0UO5OOoyb0OoF61DR4z7Wk
13282158,Denouement.,,,,,,Unknown Label,,"Hardcore,Beatdown,Deathcore",,,9.223063567,1110349,Developing,Steady,,,,,,,,,,,,,,,,,630,1382,0.455861,73.72x,10,46441,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://open.spotify.com/artist/6PZf7Al3nmgU0lJPThIodm
1114409,Czort,Poland,Eastern Europe,Europe,,,Unknown Label,,"Metal,Rock,Deathcore",,,9.217890497,1110596,Developing,Slowing,,,,14,20565,,,,147,,,,,,,,5393,1054,5.116698,5.2x,11,28034,588,,,,,,,116,,,,,,,,,3,,,,,,,,,246,,,,,,,https://open.spotify.com/artist/4ihicgHjO5lvqOWoCvNSQI
9924399,Waterlines,United Kingdom,Western Europe,Europe,They/Them,,Unknown Label,,"Progressive Rock,Deathcore,Progressive Metal",,,9.192350151,1112331,Developing,Slowing,,,,26,24941,,,,494,,,,,,,,2027,1618,1.252781,20.71x,10,41989,421,,,,,,,,,,,,,,,,63,,,,,,,,,388,,,,,,,https://open.spotify.com/artist/4fHej5iOHCpTYsujBTm1Kb
3971475,Violent Answer,Poland,Eastern Europe,Europe,They/Them,,Unknown Label,,"Deathcore,Progressive Metal,Metalcore",,,9.165824731,1114179,Developing,Cooling,,,,2,768,,,,384,,,,,,,,2949,1793,1.64473,22.95x,10,67670,575,,,,,,,68,,,,,,,,,9,,,,,,,,,233,,,,,,,https://open.spotify.com/artist/6SN2lBX5sn8lNdd0rRiLEK
1473120,Discoveries NC,United States,North America,North America,,Group,Unknown Label,,"Deathcore,Progressive Metal,Metalcore",,,9.164056839,1114403,Developing,Slowing,,,,4,1418,,,,646,,,,,,,,2607,726,3.590909,65.96x,5,171967,652,,,,,,,12,,,,,,,,,,,,,,,,,,177,,,,,,,https://open.spotify.com/artist/2dkZWZy1u8NJ4Hl4vXE33J
13608637,Von Sexto,,,,,,Unknown Label,,"Progressive Rock,Metalcore",,,9.139629656,1116143,Developing,Steady,,,,,,,,,20,,,,,,,,1253,1853,0.676201,23.4x,12,29321,31,,,,,,,72,2,507,,,,,,,,,,,,,,,,,,,,,,,https://open.spotify.com/artist/4yuJosmMF0fybouOWVJeME
4216533,Sgàile,United Kingdom,Western Europe,Europe,,,Unknown Label,,"Metal,Rock,Death Metal",,,9.094249261,1119327,Developing,Slowing,,,,2,87,,,,1463,,,,,,,,3396,1347,2.521158,14.93x,7,50717,367,,,,,,,156,,,,,,,,,10,,,,,,,,,,,,,,,,https://open.spotify.com/artist/0kTaZFlAaJlbEkeNTjOYe1
3850710,Indistinct,United States,North America,North America,,Group,Unknown Label,,"Deathcore,Death Metal,Metal",,,9.072071289,1121020,Developing,Steady,,,,1,275,,,,155,,,,,,,,3353,1475,2.27322,16.64x,12,55804,573,,,,,,,109,,,,,,,,,1,,,,,,,,,,,,,,,,https://open.spotify.com/artist/55jwncjanz31tTNxLqbTd8
9724825,Halo Bite,United States,North America,North America,,,Unknown Label,,"Hardcore,Beatdown,Alternative",,,9.017435104,1125028,Developing,Slowing,,,,,,,,,106,,,,,,,,1487,1135,1.310132,12.13x,8,18041,309,,,,,,,,,,,,,,,,,,,,,,,,,279,,,,,,,https://open.spotify.com/artist/7I18r5VZ8g2bJswX2x2tKw
10699034,Dripping Decay,,,,,,Unknown Label,,"Dance,Electronic,Metal",,,8.978662844,1128375,Developing,Slowing,,,,1,349,,,,62,,,,,,,,3570,1162,3.072289,22.38x,7,79887,453,,,,,,,59,,,,,,,,,14,,,,,,,,,769,,,,,,,https://open.spotify.com/artist/5D7UJcHPKqPJbFEQDflK85
4319983,FARSIGHT,,,,,Group,Unknown Label,,"Deathcore,Progressive Metal,Death Metal",,,8.904675954,1134057,Developing,Slowing,,,,,,,,,520,,,,,,,,2471,793,3.116015,31.74x,5,78424,377,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,https://open.spotify.com/artist/0u8cy1K9a7IChhXMlNU0Q1
680982,When Plagues Collide,Belgium,Western Europe,Europe,,,Unknown Label,,"Deathcore,Metalcore,European Hip-Hop/Rap","Heavy,Chill,Dark",Melodic,8.893083869,1134991,Developing,Steady,,,,4,2580,,,,223,,,,,,,,4175,846,4.934988,25.65x,5,107086,810,,,,,,,153,,,,,1,,,,2,,,,,,,,,399,,,,,,,https://open.spotify.com/artist/04bY1Dfz2i4lQXmaEuPziP
927196,Symphony of Heaven,United States,North America,North America,N/A,,Unknown Label,,"Dance,Electronic,Metal",,,8.876354198,1136267,Developing,Steady,,,,5,1702,5,119,66,133,,,,,,,,3759,988,3.804656,21.13x,7,79410,470,,,,,,,200,,,,,1,,,,2,,,,,,,,,273,,,,,,,https://open.spotify.com/artist/0Z89pkvtCeYDMqnprmJHDJ
6237651,Пигмеи,,,,,,Unknown Label,,"Deathcore,Russian Rock,Progressive Rock",,,8.846515317,1138534,Developing,Growth,,,,,,,,,1568,,,,,,,,778,1718,0.452852,1.58x,10,1233,111,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,https://open.spotify.com/artist/7mEQz5oBQVqguW283bSncT
