,original_name,url,artist_id
lunity,Lunity,https://open.spotify.com/artist/2OgKPh1xCLvA9C8CXfFABo,2OgKPh1xCLvA9C8CXfFABo
dawn of ouroboros,Dawn of Ouroboros,https://open.spotify.com/artist/10QeC2Z1BJ2nywykFZZ5JX,10QeC2Z1BJ2nywykFZZ5JX
sid white,Sid White,https://open.spotify.com/artist/3edyeCg5jIBvWBZm0Y5syB,3edyeCg5jIBvWBZm0Y5syB
alphasix,AlphaSix,https://open.spotify.com/artist/2o5Ka0pGAjCqwrjWXkCXhl,2o5Ka0pGAjCqwrjWXkCXhl
restricted us,Restricted US,https://open.spotify.com/artist/2l2og3NR71roKrKxdRoODx,2l2og3NR71roKrKxdRoODx
black spikes,Black Spikes,https://open.spotify.com/artist/5OHs983geoRmnuuRVfB2XQ,5OHs983geoRmnuuRVfB2XQ
just dust,Just Dust,https://open.spotify.com/artist/0oV9ljsbczX4uZts45Gvmt,0oV9ljsbczX4uZts45Gvmt
oinkliteration,Oinkliteration,https://open.spotify.com/artist/6v1GGy8FLTyKI1KlKN1lMD,6v1GGy8FLTyKI1KlKN1lMD
kin beneath chorus,Kin Beneath Chorus,https://open.spotify.com/artist/72IXBWh7gzDssxkNjOpnLx,72IXBWh7gzDssxkNjOpnLx
tzusing,Tzusing,https://open.spotify.com/artist/7Ifvnt1HhJ0b1QwOxLAu2s,7Ifvnt1HhJ0b1QwOxLAu2s
fayence dream,Fayence Dream,https://open.spotify.com/artist/1ynPv8NCp4kCQR24UQZ98B,1ynPv8NCp4kCQR24UQZ98B
hvste,HVSTE,https://open.spotify.com/artist/68oBwjIPa7c33gpvSwVUXf,68oBwjIPa7c33gpvSwVUXf
return to glory,Return to Glory,https://open.spotify.com/artist/5e0tDxxIzCiqscNL5FXtp4,5e0tDxxIzCiqscNL5FXtp4
walg,Walg,https://open.spotify.com/artist/6sSvlAu7Q8NDcNkn3C0TvZ,6sSvlAu7Q8NDcNkn3C0TvZ
sepulchral curse,Sepulchral Curse,https://open.spotify.com/artist/1BErAfRIE2RyEfcgiUdLmw,1BErAfRIE2RyEfcgiUdLmw
xstitch,Xstitch,https://open.spotify.com/artist/48XnAkszrQbCOtnvArQ4uC,48XnAkszrQbCOtnvArQ4uC
into the vein,Into The Vein,https://open.spotify.com/artist/1FklvdgEAAOBSuwd9jSOjw,1FklvdgEAAOBSuwd9jSOjw
his kingdom suffers,His Kingdom Suffers,https://open.spotify.com/artist/2YBt8POPqmR4f6chqIUlU6,2YBt8POPqmR4f6chqIUlU6
